Week,Time_slot,subject_candidates
1,1,"{18, 5, 15}"
1,2,{11}
1,3,"{16, 52, 13}"
1,4,"{53, 13}"
1,5,{48}
1,6,{47}
1,7,{30}
1,8,"{28, 21}"
1,9,{45}
2,1,"{1, 10, 19}"
2,2,"{48, 7}"
2,3,{35}
2,4,{2}
2,5,"{42, 35, 13}"
2,6,{38}
2,7,{40}
2,8,{51}
2,9,{11}
3,1,{43}
3,2,"{40, 13}"
3,3,"{33, 3, 6}"
3,4,"{10, 52, 13}"
3,5,"{33, 13}"
3,6,{1}
3,7,{35}
3,8,{11}
3,9,{34}
4,1,{48}
4,2,{32}
4,3,"{18, 11, 28}"
4,4,"{5, 15}"
4,5,{48}
4,6,{11}
4,7,{30}
4,8,{29}
4,9,{33}
5,1,"{33, 20}"
5,2,{35}
5,3,"{21, 42, 13}"
5,4,"{35, 19}"
5,5,{33}
5,6,"{51, 13}"
5,7,"{16, 7}"
5,8,{45}
5,9,{11}
6,1,"{10, 11}"
6,2,{15}
6,3,{43}
6,4,{53}
6,5,{35}
6,6,"{32, 18}"
6,7,{40}
6,8,{45}
6,9,{2}
7,1,"{5, 47}"
7,2,"{52, 13}"
7,3,{30}
7,4,{48}
7,5,{11}
7,6,"{1, 3, 28}"
7,7,"{16, 6}"
7,8,{1}
7,9,"{10, 52}"
8,1,{11}
8,2,"{1, 18, 19, 42}"
8,3,{14}
8,4,{45}
8,5,{43}
8,6,{21}
8,8,{11}
8,9,{47}
9,1,{38}
9,2,{33}
9,3,"{48, 28, 44}"
9,6,{53}
9,7,{15}
9,8,{1}
9,9,"{50, 7}"
10,1,{12}
10,2,{27}
10,3,{32}
10,5,{20}
10,7,"{18, 45}"
10,8,{4}
11,1,{41}
11,3,"{52, 37}"
11,4,{7}
11,9,{10}
12,1,{2}
12,2,{33}
12,6,{6}
12,8,{30}
