Week,Time_slot,subject_candidates,result,value
1,1,"{11, 13}","{11:31},{11:58},{13:32}",3.0
1,2,"{16, 18, 40, 5}","{5:11},{16:26},{16:27},{16:28},{16:35},{16:49},{16:58},{18:33},{40:8},{40:15},{40:47}",11.0
1,3,{35},{35:6},1.0
1,4,{53},"{53:8},{53:44},{53:49},{53:55}",4.0
1,5,{35},{35:58},1.0
1,6,{45},"{45:8},{45:32},{45:49}",3.0
1,7,{30},"{30:11},{30:49}",2.0
1,8,"{33, 28}","{28:11},{33:32}",2.0
1,9,"{48, 13}","{13:32},{48:33}",2.0
2,1,"{1, 19, 7}","{1:34},{1:55},{7:16},{7:32},{7:44},{7:50},{19:38}",7.0
2,2,{52},"{52:6},{52:7},{52:10}",3.0
2,3,"{10, 35}","{10:10},{10:11},{10:54},{10:55},{35:16}",5.0
2,4,{33},{33:50},1.0
2,5,"{2, 42}","{2:32},{2:50},{42:9}",3.0
2,6,"{11, 13}","{11:6},{11:54},{13:50}",3.0
2,7,{40},"{40:51},{40:54},{40:55}",3.0
2,8,{35},{35:7},1.0
2,9,{51},"{51:1},{51:44},{51:50},{51:55}",4.0
3,1,"{3, 6, 15}",{},4.0
3,2,{48},{48:8},1.0
3,3,"{43, 13}","{13:49},{43:30},{43:33}",3.0
3,5,"{52, 13}","{13:50},{52:26},{52:32},{52:58}",4.0
3,6,{10},"{10:8},{10:49},{10:50},{10:51}",4.0
3,7,{47},"{47:29},{47:33},{47:49}",3.0
3,9,"{21, 13}","{13:50},{21:4},{21:58}",3.0
4,1,"{48, 28}","{28:16},{48:5}",2.0
4,2,{32},{32:7},1.0
4,3,"{33, 18}","{18:11},{33:34}",2.0
4,4,{48},{48:11},1.0
4,5,{45},{},1.0
4,6,{15},{15:49},1.0
4,7,{35},{35:4},1.0
4,8,{1},"{1:11},{1:49}",2.0
4,9,"{5, 30}",{},2.0
5,1,"{42, 20, 13, 47}","{13:43},{20:1},{20:4},{20:58},{42:5},{47:13},{47:16},{47:31}",8.0
5,2,{21},"{21:33},{21:49}",2.0
5,3,{33},{33:54},1.0
5,4,"{16, 7}","{7:8},{7:10},{7:33},{7:49},{16:4},{16:16},{16:31},{16:48},{16:51},{16:58}",10.0
5,6,{19},{19:57},1.0
5,7,{53},"{53:1},{53:31},{53:33},{53:49}",4.0
5,9,"{34, 13}","{13:43},{34:8},{34:33}",3.0
6,1,{15},{15:55},1.0
6,2,{43},"{43:11},{43:13}",2.0
6,3,"{10, 52}",{},2.0
6,5,"{40, 18}","{18:1},{40:13},{40:16},{40:50}",4.0
6,8,{38},"{38:7},{38:11}",2.0
6,9,{35},{35:55},1.0
7,1,{30},"{30:13},{30:55}",2.0
7,2,"{13, 11, 5}","{5:8},{11:16},{11:58},{13:33}",4.0
7,3,{38},"{38:4},{38:55}",2.0
7,4,"{32, 3, 28}","{3:8},{3:13},{3:33},{3:55},{28:39},{32:30}",6.0
7,5,{2},"{2:55},{2:58}",2.0
7,6,"{10, 45}","{10:6},{10:16},{10:26},{10:44},{45:8},{45:30},{45:33}",7.0
7,7,{51},"{51:13},{51:33},{51:44},{51:55}",4.0
7,8,{11},"{11:35},{11:54}",2.0
7,9,"{33, 6}","{6:29},{6:33},{6:55},{33:5}",4.0
8,1,{1},"{1:4},{1:50}",2.0
8,2,"{18, 11, 42}","{11:7},{11:49},{18:21},{42:23}",4.0
8,3,"{19, 14}","{14:16},{14:49},{14:55},{19:4}",4.0
8,4,{45},"{45:49},{45:50},{45:55}",3.0
8,5,{1},"{1:4},{1:50}",2.0
8,6,{33},{33:50},1.0
8,7,{11},"{11:49},{11:54}",2.0
8,8,{29},"{29:29},{29:49}",2.0
8,9,{53},{},2.0
9,1,{11},"{11:1},{11:58}",2.0
9,2,"{33, 44}","{33:14},{44:33}",2.0
9,3,"{48, 28}","{28:10},{48:49}",2.0
9,4,{11},"{11:13},{11:49}",2.0
9,5,{16},"{16:10},{16:17},{16:26},{16:28},{16:50},{16:58}",6.0
9,6,{21},"{21:49},{21:50}",2.0
9,7,{43},"{43:32},{43:49}",2.0
9,8,{48},{48:49},1.0
9,9,"{52, 7}","{7:10},{7:29},{7:32},{7:47},{52:1},{52:27},{52:58}",7.0
10,1,{12},"{12:4},{12:32}",2.0
10,2,{32},{32:8},1.0
10,3,"{11, 37}","{11:11},{11:55},{37:49}",3.0
10,4,{4},"{4:11},{4:49},{4:55}",3.0
10,6,{47},"{47:11},{47:32},{47:49}",3.0
10,7,"{18, 20}","{18:49},{20:1},{20:32},{20:55}",4.0
10,8,{53},"{53:8},{53:11},{53:32},{53:49}",4.0
10,9,{45},"{45:8},{45:32},{45:55}",3.0
11,1,{41},"{41:4},{41:13},{41:17},{41:19},{41:31},{41:32},{41:50},{41:58}",8.0
11,2,{52},"{52:6},{52:33},{52:58}",3.0
11,5,{1},"{1:4},{1:58}",2.0
11,6,{10},"{10:8},{10:10},{10:33},{10:46}",4.0
11,7,{7},"{7:11},{7:28},{7:32},{7:55}",4.0
11,8,{15},{15:8},1.0
11,9,{50},"{50:4},{50:10},{50:44},{50:58}",4.0
12,1,{2},"{2:44},{2:58}",2.0
12,2,{33},{33:8},1.0
12,3,{27},{27:6},1.0
12,7,{30},"{30:11},{30:49}",2.0
12,8,{6},"{6:11},{6:41},{6:49}",3.0
