Week,Time_slot,subject_candidates,result,value
1,1,"{35, 13, 18, 5}","{5:32},{13:29},{18:1},{35:15}",4.0
1,2,"{16, 40}","{16:6},{16:15},{16:27},{16:33},{16:49},{16:58},{40:8},{40:11},{40:35}",9.0
1,3,{11},"{11:11},{11:49}",2.0
1,4,{33},{33:8},1.0
1,5,{35},{35:58},1.0
1,6,"{28, 13, 30}","{13:11},{28:49},{30:8},{30:31}",4.0
1,7,{45},"{45:32},{45:49},{45:55}",3.0
1,8,{48},{48:8},1.0
1,9,{21},"{21:33},{21:58}",2.0
2,1,"{19, 15, 7}","{7:1},{7:16},{7:32},{7:50},{15:55},{19:41}",6.0
2,2,{35},{35:27},1.0
2,3,"{1, 10}","{1:16},{1:54},{10:6},{10:11},{10:34},{10:55}",6.0
2,4,{33},{33:50},1.0
2,5,{53},"{53:13},{53:32},{53:50},{53:55}",4.0
2,6,"{42, 35}","{35:28},{42:38}",2.0
2,7,{40},"{40:51},{40:54},{40:55}",3.0
2,8,"{11, 13}","{11:34},{11:54},{13:32}",3.0
2,9,{2},"{2:27},{2:50}",2.0
3,1,"{48, 3, 6}",{},2.0
3,2,"{43, 13}","{13:23},{43:33},{43:49}",3.0
3,3,{52},"{52:4},{52:34},{52:49}",3.0
3,5,"{10, 13}","{10:7},{10:15},{10:30},{10:58},{13:50}",5.0
4,1,{48},{48:5},1.0
4,2,"{32, 18, 28}","{18:11},{28:49},{32:7}",3.0
4,3,{33},{33:4},1.0
4,4,{1},"{1:11},{1:49}",2.0
4,5,{51},{},2.0
4,6,{45},"{45:10},{45:11},{45:49}",3.0
4,7,{52},"{52:4},{52:11},{52:49}",3.0
4,8,"{5, 47}",{},3.0
4,9,{15},{15:5},1.0
5,1,"{42, 21}","{21:4},{21:58},{42:13}",3.0
5,2,"{43, 20, 13}","{13:43},{20:8},{20:16},{20:49},{43:10},{43:33}",6.0
5,3,{33},{33:54},1.0
5,4,{13},{13:49},1.0
5,7,{19},{19:56},1.0
5,8,"{34, 7}",{},1.0
6,1,"{10, 47}","{10:15},{10:31},{10:41},{10:50},{47:13},{47:16},{47:55}",7.0
6,2,{52},"{52:6},{52:7},{52:11}",3.0
6,3,{15},{15:55},1.0
6,4,{18},{18:50},1.0
6,5,{38},"{38:7},{38:50}",2.0
6,6,{30},"{30:11},{30:50}",2.0
6,7,{16},"{16:1},{16:6},{16:11},{16:13},{16:28},{16:55}",6.0
6,8,{48},{48:11},1.0
6,9,{53},"{53:1},{53:44},{53:50},{53:55}",4.0
7,1,"{11, 13}","{11:30},{11:58},{13:55}",3.0
7,2,"{48, 5}","{5:8},{48:33}",2.0
7,3,{30},"{30:33},{30:55}",2.0
7,4,{32},{32:8},1.0
7,5,{51},"{51:16},{51:30},{51:44},{51:55}",4.0
7,6,{11},"{11:6},{11:54}",2.0
7,7,"{33, 10}","{10:6},{10:12},{10:46},{10:54},{33:58}",5.0
7,8,"{2, 3, 6}",{},5.0
7,9,"{28, 45}","{28:38},{45:8},{45:33},{45:55}",4.0
8,1,{11},"{11:4},{11:31}",2.0
8,2,"{1, 42, 19}","{1:7},{1:49},{19:21},{42:16}",4.0
8,3,"{18, 14}","{14:16},{14:49},{14:55},{18:21}",4.0
8,4,{21},"{21:4},{21:49}",2.0
8,5,{11},"{11:4},{11:50}",2.0
8,6,{29},"{29:49},{29:50}",2.0
8,7,{53},"{53:22},{53:29},{53:31},{53:49},{53:55}",5.0
8,8,{1},"{1:7},{1:49}",2.0
8,9,{33},{33:55},1.0
9,1,"{33, 28}","{28:50},{33:1}",2.0
9,2,{11},"{11:49},{11:58}",2.0
9,3,"{44, 38}","{38:10},{38:49},{44:33}",3.0
9,4,{43},"{43:49},{43:50}",2.0
9,5,"{45, 7}","{7:1},{7:10},{7:28},{7:50},{45:13},{45:16},{45:32}",7.0
9,6,{48},{48:50},1.0
9,7,{16},"{16:6},{16:12},{16:28},{16:29},{16:33},{16:58}",6.0
9,8,{11},"{11:48},{11:49}",2.0
9,9,{52},"{52:26},{52:50},{52:58}",3.0
10,1,{32},{32:55},1.0
10,2,{11},"{11:11},{11:49}",2.0
10,3,{27},{27:55},1.0
10,6,{4},"{4:8},{4:11},{4:49}",3.0
10,7,"{18, 45}","{18:32},{45:11},{45:49},{45:55}",4.0
10,9,{47},"{47:30},{47:32},{47:55}",3.0
11,1,"{41, 37}","{37:31},{41:4},{41:13},{41:27},{41:32},{41:44},{41:50},{41:55},{41:58}",9.0
11,2,{52},"{52:6},{52:33},{52:58}",3.0
11,6,{1},"{1:11},{1:50}",2.0
11,7,{50},"{50:6},{50:17},{50:19},{50:44}",4.0
11,8,{53},"{53:11},{53:13},{53:32},{53:44}",4.0
11,9,{15},{15:8},1.0
12,1,{33},{33:58},1.0
12,2,{2},"{2:49},{2:58}",2.0
12,3,{12},"{12:49},{12:54}",2.0
12,5,{6},"{6:13},{6:30},{6:44}",3.0
12,6,{20},"{20:10},{20:30},{20:44}",3.0
12,7,{30},"{30:11},{30:49}",2.0
12,8,{7},"{7:8},{7:11},{7:22},{7:49}",4.0
12,9,{10},"{10:1},{10:8},{10:29},{10:58}",4.0
