Week,Time_slot,subject_candidates
1,1,"{43, 11}"
1,2,{35}
1,3,"{5, 40, 13, 16, 48, 18, 52}"
1,4,"{35, 28}"
1,5,{33}
1,6,{21}
1,7,"{48, 34, 53}"
1,8,"{35, 47}"
1,9,"{45, 13, 30}"
2,1,"{33, 10}"
2,2,"{35, 19}"
2,3,"{1, 11, 15, 7}"
2,4,{33}
2,5,"{40, 2}"
2,6,"{33, 51}"
2,7,"{35, 42, 11, 13}"
2,8,"{35, 11}"
2,9,{38}
3,1,{32}
3,2,{3}
3,3,"{13, 6}"
3,4,"{11, 13}"
3,6,"{52, 13}"
3,7,{1}
3,8,{10}
3,9,{11}
4,1,"{11, 28, 21}"
4,2,"{48, 35}"
4,3,"{18, 43, 14}"
4,4,"{35, 11, 5}"
4,5,{16}
4,6,"{48, 30}"
4,7,"{1, 40, 11, 45, 53}"
4,8,{15}
5,1,{11}
5,2,"{20, 47}"
5,3,"{33, 42, 52, 13}"
5,5,{19}
5,6,"{51, 13}"
5,7,"{11, 7}"
5,8,{11}
6,1,"{1, 35}"
6,3,"{10, 11}"
6,4,{35}
6,7,"{2, 18}"
6,8,"{1, 53}"
6,9,{45}
7,1,"{21, 5}"
7,2,"{48, 30}"
7,3,"{1, 43, 13}"
7,4,"{16, 10}"
7,5,"{32, 6}"
7,6,"{48, 1, 33}"
7,7,"{33, 28, 52}"
7,8,"{11, 3}"
8,1,{18}
8,2,"{42, 11}"
8,3,"{19, 1, 11, 15}"
8,4,{43}
8,5,{29}
8,6,"{45, 47}"
8,7,{29}
8,8,"{11, 21}"
8,9,{33}
9,1,"{33, 44, 52}"
9,2,{38}
9,3,"{32, 28}"
9,7,"{1, 53, 7}"
9,9,{50}
10,2,{27}
10,3,{12}
10,4,{4}
10,5,{18}
10,8,{45}
10,9,{20}
11,2,{37}
11,3,{41}
11,4,{10}
11,5,{15}
11,7,{7}
12,1,{2}
12,3,{33}
12,7,{6}
12,9,{30}
