Week,Time_slot,subject_candidates,result,value
1,1,"{43, 11}","{11:35},{43:32},{43:55}",3.0
1,2,{35},{35:27},1.0
1,3,"{5, 40, 13, 16, 48, 18, 52}",{},1.0
1,4,"{35, 28}","{28:55},{35:44}",2.0
1,5,{33},{33:58},1.0
1,6,{21},"{21:32},{21:49}",2.0
1,7,"{48, 34, 53}","{34:33},{34:49},{48:11},{53:55}",4.0
1,8,"{35, 47}","{35:54},{47:32}",2.0
1,9,"{45, 13, 30}","{13:45},{30:33},{30:55},{45:32}",4.0
2,1,"{33, 10}","{10:32},{33:16}",2.0
2,2,"{35, 19}","{19:9},{35:28}",2.0
2,3,"{1, 11, 15, 7}","{1:54},{7:16},{11:41},{15:5}",4.0
2,4,{33},{33:50},1.0
2,5,"{40, 2}","{2:10},{40:13},{40:50},{40:51}",4.0
2,6,"{33, 51}","{33:11},{51:44}",2.0
2,7,"{35, 42, 11, 13}","{11:55},{13:38},{35:31},{42:11}",4.0
2,8,"{35, 11}","{11:19},{35:27}",2.0
2,9,{38},"{38:27},{38:50}",2.0
3,1,{32},{32:58},1.0
3,2,{3},{3:49},1.0
3,3,"{13, 6}","{6:49},{13:23}",2.0
3,4,"{11, 13}","{11:49},{13:9}",2.0
3,6,"{52, 13}","{13:38},{52:49}",2.0
3,7,{1},{1:58},1.0
3,8,{10},{10:8},1.0
3,9,{11},{11:8},1.0
4,1,"{11, 28, 21}","{11:16},{21:4},{21:34},{28:5}",4.0
4,2,"{48, 35}","{35:35},{48:49}",2.0
4,3,"{18, 43, 14}",{},2.0
4,4,"{35, 11, 5}","{5:11},{11:35},{35:16}",3.0
4,5,{16},{},3.0
4,6,"{48, 30}","{30:11},{30:49},{48:5}",3.0
4,7,"{1, 40, 11, 45, 53}",{},3.0
4,8,{15},{15:11},1.0
5,1,{11},{11:58},1.0
5,2,"{20, 47}","{20:8},{20:13},{20:49},{47:33}",4.0
5,3,"{33, 42, 52, 13}","{13:16},{33:54},{42:49},{52:5}",4.0
5,5,{19},{19:58},1.0
5,6,"{51, 13}","{13:23},{51:49}",2.0
5,7,"{11, 7}","{7:13},{11:49}",2.0
5,8,{11},{11:8},1.0
6,1,"{1, 35}","{1:50},{35:13}",2.0
6,3,"{10, 11}","{10:6},{11:11}",2.0
6,4,{35},{35:7},1.0
6,7,"{2, 18}","{2:6},{18:11}",2.0
6,8,"{1, 53}","{1:7},{53:11}",2.0
6,9,{45},{45:50},1.0
7,1,"{21, 5}","{5:55},{21:13},{21:58}",3.0
7,2,"{48, 30}","{30:8},{30:33},{48:13}",3.0
7,3,"{1, 43, 13}","{1:6},{13:33},{43:16},{43:55}",4.0
7,4,"{16, 10}","{10:54},{16:4},{16:6},{16:8},{16:13},{16:44},{16:58}",7.0
7,5,"{32, 6}","{6:30},{32:13}",2.0
7,6,"{48, 1, 33}","{1:54},{33:8},{48:33}",3.0
7,7,"{33, 28, 52}","{28:33},{33:29},{52:54}",3.0
7,8,"{11, 3}","{3:8},{3:13},{11:54}",3.0
8,1,{18},{18:50},1.0
8,2,"{42, 11}","{11:49},{42:23}",2.0
8,3,"{19, 1, 11, 15}","{1:49},{11:21},{15:55},{19:23}",4.0
8,4,{43},"{43:49},{43:50}",2.0
8,5,{29},"{29:50},{29:55}",2.0
8,6,"{45, 47}","{45:49},{47:12}",2.0
8,7,{29},"{29:49},{29:55}",2.0
8,8,"{11, 21}","{11:7},{21:49},{21:54}",3.0
8,9,{33},{33:55},1.0
9,1,"{33, 44, 52}","{33:16},{44:13},{52:32}",3.0
9,2,{38},"{38:49},{38:58}",2.0
9,3,"{32, 28}","{28:5},{32:26}",2.0
9,7,"{1, 53, 7}","{1:32},{7:49},{53:33}",3.0
9,9,{50},{50:58},1.0
10,2,{27},{27:8},1.0
10,3,{12},{12:49},1.0
10,4,{4},{4:8},1.0
10,5,{18},{18:55},1.0
10,8,{45},{45:49},1.0
10,9,{20},"{20:1},{20:4},{20:20}",3.0
11,2,{37},{37:6},1.0
11,3,{41},"{41:4},{41:6},{41:10},{41:11},{41:17},{41:18},{41:33},{41:55}",8.0
11,4,{10},{10:8},1.0
11,5,{15},{15:55},1.0
11,7,{7},{7:55},1.0
12,1,{2},{2:58},1.0
12,3,{33},{33:6},1.0
12,7,{6},{6:49},1.0
12,9,{30},"{30:8},{30:10}",2.0
