Week,Time_slot,subject_candidates
1,1,"{16, 52}"
1,2,"{25, 18, 5, 15}"
1,3,"{11, 13}"
1,4,"{28, 30}"
1,5,{45}
1,6,{53}
1,7,"{48, 13}"
1,8,{47}
1,9,{21}
2,1,"{1, 19, 7}"
2,2,"{48, 10}"
2,3,{32}
2,4,"{40, 42}"
2,5,"{24, 11}"
2,6,{2}
2,7,{38}
2,8,"{51, 13}"
2,9,{35}
3,1,{43}
3,2,"{40, 3, 13}"
3,3,"{33, 6}"
3,4,"{1, 13}"
3,5,{52}
3,6,{34}
3,7,"{10, 35}"
3,8,"{11, 13}"
3,9,{33}
4,1,{11}
4,2,"{9, 28}"
4,3,"{48, 18}"
4,4,{35}
4,5,{33}
4,6,"{11, 5}"
4,7,{48}
4,8,{29}
4,9,{45}
5,1,{35}
5,2,"{33, 42}"
5,3,"{21, 20, 13}"
5,4,"{16, 19, 13}"
5,5,{51}
5,6,"{35, 7}"
5,7,{11}
5,8,{30}
5,9,{15}
6,1,{43}
6,2,"{10, 11}"
6,3,"{25, 35}"
6,4,{35}
6,5,"{24, 32}"
6,6,"{2, 18}"
6,7,{1}
6,8,{40}
6,9,{53}
7,1,"{5, 47}"
7,2,"{13, 30}"
7,3,{52}
7,4,"{10, 52}"
7,5,{16}
7,6,{11}
7,7,"{48, 28, 6}"
7,8,{45}
7,9,"{1, 3}"
8,1,{1}
8,2,"{42, 19, 15}"
8,3,"{18, 14}"
8,5,{11}
8,6,{21}
8,7,{47}
8,8,{45}
8,9,{43}
9,1,"{48, 28}"
9,2,"{44, 38}"
9,3,{33}
9,4,{9}
9,5,"{1, 7}"
9,6,{50}
9,7,{53}
9,8,{4}
9,9,{15}
10,1,{32}
10,2,{12}
10,3,{27}
10,4,"{18, 45}"
10,8,{17}
10,9,{20}
11,1,{52}
11,2,{41}
11,3,{37}
11,7,{10}
11,9,{7}
12,1,{2}
12,3,{33}
12,5,{6}
12,8,{30}
