Week,Time_slot,subject_candidates,result,value
1,1,"{16, 52}","{16:1},{52:35},{52:58}",3.0
1,2,"{25, 18, 5, 15}",{},3.0
1,3,"{11, 13}",{},3.0
1,4,"{28, 30}",{},3.0
1,5,{45},{},3.0
1,6,{53},{},3.0
1,7,"{48, 13}",{},3.0
1,8,{47},{},3.0
1,9,{21},{21:48},1.0
2,1,"{1, 19, 7}",{},1.0
2,2,"{48, 10}",{},1.0
2,3,{32},"{32:6},{32:16}",2.0
2,4,"{40, 42}",{},2.0
2,5,"{24, 11}","{11:16},{11:48},{24:50}",3.0
2,6,{2},"{2:6},{2:48}",2.0
2,7,{38},{38:54},1.0
2,8,"{51, 13}",{},1.0
2,9,{35},{},1.0
3,1,{43},{},1.0
3,2,"{40, 3, 13}",{},1.0
3,3,"{33, 6}",{},1.0
3,4,"{1, 13}",{},1.0
3,5,{52},{},1.0
3,6,{34},{34:49},1.0
3,7,"{10, 35}",{},1.0
3,8,"{11, 13}",{},1.0
3,9,{33},{},1.0
4,1,{11},"{11:16},{11:35}",2.0
4,2,"{9, 28}",{},2.0
4,3,"{48, 18}",{},2.0
4,4,{35},{},2.0
4,5,{33},{},2.0
4,6,"{11, 5}","{5:49},{11:16},{11:48}",3.0
4,7,{48},{},3.0
4,8,{29},{},3.0
4,9,{45},{},3.0
5,1,{35},{},3.0
5,2,"{33, 42}",{},3.0
5,3,"{21, 20, 13}",{},3.0
5,4,"{16, 19, 13}","{13:49},{16:4},{19:36}",3.0
5,5,{51},{},3.0
5,6,"{35, 7}",{},3.0
5,7,{11},{},3.0
5,8,{30},{},3.0
5,9,{15},{},3.0
6,1,{43},{},3.0
6,2,"{10, 11}",{},3.0
6,3,"{25, 35}",{},3.0
6,4,{35},{},3.0
6,5,"{24, 32}","{24:50},{32:12},{32:16}",3.0
6,6,"{2, 18}","{2:6},{2:48},{18:50}",3.0
6,7,{1},{},3.0
6,8,{40},{},3.0
6,9,{53},{},3.0
7,1,"{5, 47}",{},3.0
7,2,"{13, 30}",{},3.0
7,3,{52},"{52:6},{52:16}",2.0
7,4,"{10, 52}","{10:6},{10:58},{52:16},{52:35}",4.0
7,5,{16},{16:58},1.0
7,6,{11},"{11:12},{11:16}",2.0
7,7,"{48, 28, 6}",{},2.0
7,8,{45},{},2.0
7,9,"{1, 3}",{},2.0
8,1,{1},{},2.0
8,2,"{42, 19, 15}",{},2.0
8,3,"{18, 14}",{},2.0
8,5,{11},"{11:12},{11:16}",2.0
8,6,{21},{21:49},1.0
8,7,{47},{},1.0
8,8,{45},{},1.0
8,9,{43},{},1.0
9,1,"{48, 28}","{28:50},{48:12},{48:16}",3.0
9,2,"{44, 38}","{38:26},{44:49}",2.0
9,3,{33},{},2.0
9,4,{9},{},2.0
9,5,"{1, 7}",{},2.0
9,6,{50},{},2.0
9,7,{53},{},2.0
9,8,{4},{},2.0
9,9,{15},{},2.0
10,1,{32},"{32:12},{32:35}",2.0
10,2,{12},{},2.0
10,3,{27},{},2.0
10,4,"{18, 45}",{},2.0
10,8,{17},{17:49},1.0
10,9,{20},{},1.0
11,1,{52},"{52:12},{52:58}",2.0
11,2,{41},{},2.0
11,3,{37},{37:4},1.0
11,7,{10},"{10:12},{10:58}",2.0
11,9,{7},{},2.0
12,1,{2},"{2:16},{2:58}",2.0
12,3,{33},{},2.0
12,5,{6},{},2.0
12,8,{30},{},2.0
