Week,Time_slot,subject_candidates,Activity_ID
1,1,"{35, 40, 11, 15, 18}","{4005, 1801, 1101, 3505, 3506, 3510, 1501}"
1,2,"{35, 11, 43, 13, 48, 52}","{4802, 4301, 1102, 1103, 5201, 3507, 3508, 1304}"
1,3,"{35, 5, 40, 11, 16}","{1601, 4001, 4002, 4003, 4004, 1104, 501, 3509}"
1,4,"{48, 35}","{3520, 4803}"
1,5,"{2, 47}","{201, 4701}"
1,6,"{33, 28, 53}","{2801, 3305, 5301}"
1,7,"{34, 21}","{3402, 2101}"
1,8,"{35, 11, 45, 13, 30}","{1105, 4501, 1305, 3004, 3517, 3518}"
1,9,"{33, 35}","{3315, 3516, 3519}"
2,1,"{32, 33}","{3201, 3313}"
2,2,"{1, 7}","{101, 701}"
2,3,"{1, 10, 19, 35}","{102, 103, 1001, 3501, 1901, 3502}"
2,4,"{33, 51}","{5101, 3302}"
2,6,"{33, 11, 13, 35}","{3512, 1106, 1307, 3303}"
2,7,"{40, 42, 38}","{3801, 4201, 4006, 4007}"
2,8,"{35, 11}","{1118, 3511}"
3,1,"{3, 6}","{601, 301}"
3,3,{13},{1301}
3,6,{13},{1306}
3,7,"{10, 13, 22}","{2201, 1002, 1308}"
4,1,{48},{4804}
4,2,"{35, 28, 21}","{2802, 2102, 3503}"
4,3,"{18, 43}","{1802, 4302}"
4,4,"{16, 1, 53}","{105, 1602, 5302}"
4,5,"{48, 35}","{3513, 4805}"
4,7,"{1, 35}","{104, 3514}"
4,8,"{5, 45, 15, 52, 30}","{5202, 4502, 502, 3005, 1502}"
4,9,{40},{4008}
5,1,"{33, 42, 13}","{3312, 4202, 1303}"
5,2,"{33, 46}","{4601, 3309}"
5,3,{20},{2002}
5,7,"{13, 30, 7}","{3001, 1309, 702}"
5,8,{19},{1902}
6,1,"{10, 35}","{3504, 1003}"
6,2,{49},{4901}
6,3,{4},{402}
6,4,{40},{4009}
6,6,{35},{3515}
6,9,{18},{1803}
7,1,"{52, 13}","{5203, 1302}"
7,2,"{21, 30}","{3002, 2103}"
7,3,"{1, 5, 11, 43, 15, 47}","{108, 4303, 503, 1113, 1115, 4702, 1503}"
7,4,"{2, 31}","{202, 3101}"
7,5,"{11, 1, 3, 53}","{106, 1117, 302, 5303}"
7,6,"{45, 6}","{602, 4503}"
7,7,"{32, 33, 11, 28}","{3202, 3306, 2803, 1109, 1119}"
7,8,"{1, 33, 39, 11, 51}","{3304, 109, 5102, 1107, 3901}"
7,9,{10},{1004}
8,1,{14},{1401}
8,2,"{8, 19, 18, 11}","{801, 1114, 1804, 1903}"
8,3,"{1, 42}","{107, 4203, 110}"
8,6,{33},{3307}
8,7,"{11, 29}","{1108, 1110, 2903}"
8,8,{29},{2904}
9,1,"{32, 28, 36}","{3601, 3203, 2804}"
9,2,"{38, 33, 29, 30}","{3308, 3311, 3314, 2902, 3802, 3006}"
9,3,"{33, 11, 44, 48, 29}","{4806, 3310, 4401, 2901, 1111}"
9,6,"{50, 43}","{4305, 5001}"
9,7,"{45, 21}","{2104, 4504}"
9,8,"{16, 43, 48, 11}","{1120, 1121, 1603, 4807, 4304}"
9,9,"{34, 52, 7}","{3401, 5204, 703}"
10,1,{27},{2701}
10,2,{12},{1201}
10,3,"{11, 37}","{1112, 1116, 3701}"
10,5,"{4, 20}","{401, 2001}"
10,7,"{26, 18, 3}","{2601, 1805, 303}"
10,8,{47},{4703}
11,1,"{41, 52}","{5205, 4101}"
11,2,{23},{2301}
11,4,{1},{111}
11,5,"{45, 14}","{4505, 1402}"
11,6,"{10, 53, 15}","{1504, 1005, 5304}"
11,7,{23},{2302}
11,8,{7},{704}
12,2,{2},{203}
12,3,"{48, 33}","{4801, 3301}"
12,5,{18},{1806}
12,7,{30},{3003}
12,9,"{6, 15}","{1505, 603}"
